lineNo,url,direction,from,to
9,https://tfl.gov.uk/bus/route/9?direction=inbound,inbound,Hammersmith Bus Station,Aldwych / Drury Lane
23,https://tfl.gov.uk/bus/route/23?direction=inbound,inbound,Aldwych / Bush House,Westbourne Park Bus Garage
1,https://tfl.gov.uk/bus/route/1?direction=inbound,inbound,Canada Water Bus Station,South End Green
14,https://tfl.gov.uk/bus/route/14?direction=inbound,inbound,.Russell Square,Putney Heath / Green Man
11,https://tfl.gov.uk/bus/route/11?direction=outbound,outbound,Fulham Town Hall,Waterloo Station / Upper Taxi Road
18,https://tfl.gov.uk/bus/route/18?direction=outbound,outbound,Sudbury & Harrow Road Station,Euston Station
13,https://tfl.gov.uk/bus/route/13?direction=inbound,inbound,Victoria Station,North Finchley Bus Station
13,https://tfl.gov.uk/bus/route/13?direction=outbound,outbound,North Finchley Bus Station,Victoria Station
18,https://tfl.gov.uk/bus/route/18?direction=inbound,inbound,Euston Station,Sudbury & Harrow Road Station
2,https://tfl.gov.uk/bus/route/2?direction=outbound,outbound,Marylebone Station,Norwood Bus Garage
24,https://tfl.gov.uk/bus/route/24?direction=outbound,outbound,Claverton Street / Churchill Gardens,Royal Free Hospital
28,https://tfl.gov.uk/bus/route/28?direction=outbound,outbound,Station Terrace,Mapleton Crescent
17,https://tfl.gov.uk/bus/route/17?direction=outbound,outbound,Archway Station / Holloway Road,London Bridge Bus Station
4,https://tfl.gov.uk/bus/route/4?direction=inbound,inbound,Blackfriars Station,Archway Station
27,https://tfl.gov.uk/bus/route/27?direction=inbound,inbound,Stables Market,Glenthorne House
17,https://tfl.gov.uk/bus/route/17?direction=inbound,inbound,London Bridge Bus Station,Archway Station / Holloway Road
30,https://tfl.gov.uk/bus/route/30?direction=outbound,outbound,Portman Street / Selfridges,Hackney Wick / Trowbridge Road
3,https://tfl.gov.uk/bus/route/3?direction=outbound,outbound,Victoria Bus Station,Crystal Palace
6,https://tfl.gov.uk/bus/route/6?direction=outbound,outbound,Bertie Road,Victoria Station
7,https://tfl.gov.uk/bus/route/7?direction=outbound,outbound,Brunel Road,Oxford Circus Station / John Lewis
12,https://tfl.gov.uk/bus/route/12?direction=outbound,outbound,Oxford Circus Stn / Margaret Street,Dulwich Library
4,https://tfl.gov.uk/bus/route/4?direction=outbound,outbound,Archway Station,Blackfriars Station
21,https://tfl.gov.uk/bus/route/21?direction=outbound,outbound,Molesworth Street / Riverdale House,Caledonian Road
41,https://tfl.gov.uk/bus/route/41?direction=outbound,outbound,Archway Station,Tottenham Hale Bus Station
22,https://tfl.gov.uk/bus/route/22?direction=outbound,outbound,Putney Common,Margaret Street / Oxford Circus
15,https://tfl.gov.uk/bus/route/15?direction=outbound,outbound,Blackwall Station,Charing Cross Station
36,https://tfl.gov.uk/bus/route/36?direction=outbound,outbound,Claremont Road,New Cross Bus Garage
28,https://tfl.gov.uk/bus/route/28?direction=inbound,inbound,Mapleton Road,Kensal Rise Station
41,https://tfl.gov.uk/bus/route/41?direction=inbound,inbound,Tottenham Hale Bus Station,Archway Station
8,https://tfl.gov.uk/bus/route/8?direction=inbound,inbound,New Oxford Street,Bow Bus Garage
37,https://tfl.gov.uk/bus/route/37?direction=outbound,outbound,Putney Heath / Green Man,Peckham Bus Station
32,https://tfl.gov.uk/bus/route/32?direction=outbound,outbound,Edgware Bus Station,Kilburn Park Station
24,https://tfl.gov.uk/bus/route/24?direction=inbound,inbound,South End Green,Claverton Street / Churchill Gardens
20,https://tfl.gov.uk/bus/route/20?direction=outbound,outbound,Walthamstow Bus Station,Burton Road
29,https://tfl.gov.uk/bus/route/29?direction=outbound,outbound,Lordship Lane,Trafalgar Square / Charing Cross Stn
